user,in_degree,in_degree_centrality,out_degree,out_degree_centrality,isaCompetitor
RuPaulsDragRace,9657,0.30676253915038154,41,0.000794035908068287,False
the_symonee,5118,0.1750408046230535,1,4.4113106003793724e-05,True
gottmik,3337,0.11482641492787507,18,0.0005734703780493184,True
TheKandyMuse,3403,0.10384225153293043,15,0.0003087917420265561,True
denalifox,2604,0.0857999911773788,6,0.00022056553001896861,True
omgheyrose,1706,0.059023335833076,3,0.00013233931801138118,True
MissLaLaRi,953,0.0386871939653271,1,4.4113106003793724e-05,True
jaidaehall,924,0.03405531783492875,27,0.0007499228020644934,False
QueenUtica,924,0.033614186774890815,0,0.0,True
shantayficagay,792,0.031099739732674575,0,0.0,False
WorldOfWonder,851,0.02854117958445454,81,0.001279280074110018,False
joeynolfi,512,0.019145088005646477,0,0.0,False
NinaWest,531,0.019012748687635094,15,0.00044113106003793723,False
TheOliviaLux,482,0.01790992103754025,1,4.4113106003793724e-05,True
LoniLove,415,0.01552781331333539,6,0.0001764524240151749,False
rhymeswithbeg,343,0.015130795359301247,1,4.4113106003793724e-05,False
SheaCoulee,357,0.014910229829282279,3,0.00013233931801138118,False
maxbronner,346,0.014424985663240547,0,0.0,False
oscarutierre,341,0.014248533239225373,0,0.0,False
feistyfrank,326,0.01398385460320261,9,0.0003087917420265561,False
dragliciouz,443,0.012439895893069831,1,4.4113106003793724e-05,False
michellevisage,326,0.011778199303012925,0,0.0,False
RuPaul,306,0.011645859985001544,0,0.0,False
